タイムスタンプ,画像,店舗名,メニュー名,ジャンル,麺,スープ,住所,Google Map URL
2025/05/25 21:17:01,https://drive.google.com/open?id=1FrmInuLM7RHl60P50JRVT-SEKakc6yQ4,駄目な隣人 新宿店,生姜醤油ラーメン,ラーメン,中太麺,醤油,東京都新宿区歌舞伎町1-27-2 1F,https://maps.app.goo.gl/Jmwoa4BykungkFxy8
2025/05/25 21:19:11,https://drive.google.com/open?id=1gwn0mo85CmXW70HErfKqwF96vuvUQbJh,RYUS NOODLE BAR Tokyo Craft,塩鶏白湯ラーメン,ラーメン,中太麺,鶏白湯,東京都中央区日本橋蛎殻町１丁目９−５ 大鷲ビル 1F,https://maps.app.goo.gl/M87cFSLnAYiCSjEr7
2025/05/25 21:20:05,https://drive.google.com/open?id=1clnHVega1f-Ie_I_eCliU50_YL5Eu8fo,麺屋 音,特性塩ラーメン,ラーメン,中太麺,塩,東京都中央区日本橋人形町２丁目６−１２ 渡辺ビル 1F,https://maps.app.goo.gl/mrrQzgTZuGHekbCz7
2025/05/25 21:21:02,https://drive.google.com/open?id=1vp3-3CejP01uX5q1RaWayiPw3cwnD3l7,ラーメン豊樹,担々麺,ラーメン,中太麺,担々麺,東京都中央区日本橋人形町３丁目３−１３ ＣＩＣビル,https://maps.app.goo.gl/58uxCqke71vrp719A
2025/05/25 21:21:59,https://drive.google.com/open?id=1AkYQ1c4wxTil-wJjmZCBF5sv1FwK8lbM,ラーメン豊樹,豚骨醤油ラーメン,ラーメン,中太麺,豚骨,東京都中央区日本橋人形町３丁目３−１３ ＣＩＣビル,https://maps.app.goo.gl/58uxCqke71vrp719A
2025/05/25 21:23:22,https://drive.google.com/open?id=1LHWI16q5uS-s-MkMHKY-i1dbBPgrm3bG,すごい煮干ラーメン凪,すごい煮干ラーメン,ラーメン,太麺,魚介,東京都新宿区歌舞伎町１丁目１−１０ ２階,https://maps.app.goo.gl/pABGCbgKSrj5DHFp9
2025/05/25 21:24:51,https://drive.google.com/open?id=1HmgkpHnKG5WSzMq-Zut0zqjOEY0cGXll,上尾らぁめん 本店,豚骨醤油らぁめん,ラーメン,中太麺,豚骨,埼玉県さいたま市北区宮原町４丁目１１１−１０,https://maps.app.goo.gl/MZbg46EV2UY12hJ99
2025/05/25 21:26:19,https://drive.google.com/open?id=1sjCmN_MC_zJ-GSRY2J-1QfjsJ-KxRPpW,煮干しらーめん19,味玉ラーメン,ラーメン,太麺,魚介,埼玉県上尾市柏座１丁目１０−３−６,https://maps.app.goo.gl/gSiTCFYdFvYttAQj6
2025/05/25 21:29:33,https://drive.google.com/open?id=170yhpi2jUJ2-NV6clIfkUWxe1q4UjcaE,らーめん空 新千歳空港店,味噌らーめん,ラーメン,ちぢれ麺,味噌,北海道千歳市美々987-22 新千歳空港国内線旅客ターミナルビル 3F,https://maps.app.goo.gl/6iBiXbuGBjeUW4iy7
2025/05/26 20:24:11,https://drive.google.com/open?id=1ap4_8bnNPKrW2443NMWQtqJPMsDCT8hO,徳島ラーメン 麺王,DO豚骨ラーメン,ラーメン,細麺,豚骨,徳島県徳島市川内町平石夷野240-1,https://maps.app.goo.gl/NHcgi42VRPJG7mPA7
